Book Id,Title,Author,Author l-f,Additional Authors,ISBN,ISBN13,My Rating,Average Rating,Publisher,Binding,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Bookshelves,Bookshelves with positions,Exclusive Shelf,My Review,Spoiler,Private Notes,Read Count,Owned Copies
60784732,"Women We Buried, Women We Burned: A Memoir",Rachel Louise Snyder,"Snyder, Rachel Louise",,"=""1635579120""","=""9781635579123""",0,4.06,Bloomsbury Publishing,Hardcover,272,2023,2023,,2023/05/28,to-read,to-read (#105),to-read,,,,0,0
29437949,Behind Closed Doors,B.A. Paris,"Paris, B.A.",,"=""1250121000""","=""9781250121004""",4,3.98,St. Martin's Press,Hardcover,293,2016,2016,,2023/05/25,,,read,,,,1,0
18812405,The Good Girl (English Edition),Mary Kubica,"Kubica, Mary",,"=""0778316556""","=""9780778316558""",2,3.82,MIRA,Hardcover,352,2014,2014,2023/05/22,2023/05/18,,,read,,,,1,0
43352954,This is How You Lose the Time War,Amal El-Mohtar,"El-Mohtar, Amal",Max Gladstone,"=""""","=""""",0,3.94,Saga Press,Kindle Edition,209,2019,2019,,2023/05/21,to-read,to-read (#104),to-read,,,,0,0
50659467,"A Court of Thorns and Roses (A Court of Thorns and Roses, #1)",Sarah J. Maas,"Maas, Sarah J.",,"=""1635575567""","=""9781635575569""",0,4.20,Bloomsbury Publishing,Paperback,419,2020,2015,,2023/05/18,to-read,to-read (#103),to-read,,,,0,0
58784475,"Tomorrow, and Tomorrow, and Tomorrow",Gabrielle Zevin,"Zevin, Gabrielle",,"=""0593321200""","=""9780593321201""",0,4.22,Knopf,Hardcover,401,2022,2022,,2023/05/18,to-read,to-read (#102),to-read,,,,0,0
54351235,"Arsenic and Adobo (Tita Rosie's Kitchen Mystery, #1)",Mia P. Manansala,"Manansala, Mia P.",,"=""""","=""""",0,3.54,Berkley,Kindle Edition,336,2021,2021,,2023/05/18,to-read,to-read (#101),to-read,,,,0,0
53137974,The Good Sister,Sally Hepworth,"Hepworth, Sally",,"=""1250120950""","=""9781250120953""",0,4.17,St. Martin's Press,Hardcover,309,2021,2020,,2023/05/18,to-read,to-read (#100),to-read,,,,0,0
25899336,When Breath Becomes Air,Paul Kalanithi,"Kalanithi, Paul",Abraham   Verghese,"=""""","=""""",5,4.39,Random House,Kindle Edition,208,2016,2016,,2022/11/30,life-changers,life-changers (#6),read,,,,1,0
58537371,Nightcrawling,Leila Mottley,"Mottley, Leila",,"=""0593318935""","=""9780593318935""",0,4.02,Knopf,Hardcover,277,2022,2022,,2023/05/10,to-read,to-read (#99),to-read,,,,0,0
9712,Love in the Time of Cholera,Gabriel García Márquez,"Márquez, Gabriel García","Edith Grossman, Kjell Risvik, Carlos Marrodán Casas","=""140003468X""","=""9781400034680""",0,3.93,Vintage International,Paperback,348,2003,1985,,2023/05/06,to-read,to-read (#98),to-read,,,,0,0
53424992,The 5am Club,Robin S. Sharma,"Sharma, Robin S.",,"=""""","=""""",0,3.79,,Paperback,314,,2018,,2023/05/05,to-read,to-read (#97),to-read,,,,0,0
39699643,Period Repair Manual,Lara Briden,"Briden, Lara",,"=""""","=""""",0,4.40,Macmillan Australia,Kindle Edition,459,2018,2015,,2023/05/04,to-read,to-read (#96),to-read,,,,0,0
29496076,Killers of the Flower Moon: The Osage Murders and the Birth of the FBI,David Grann,"Grann, David",,"=""0385534256""","=""9780385534253""",5,4.13,Doubleday,ebook,359,2017,2017,,2023/04/26,,,read,,,,1,0
14891,A Tree Grows in Brooklyn,Betty  Smith,"Smith, Betty",,"=""0061120073""","=""9780061120077""",0,4.29,HarperCollins Publishers,Paperback,496,2006,1943,,2023/05/01,to-read,to-read (#95),to-read,,,,0,0
62050250,A Living Remedy: A Memoir,Nicole Chung,"Chung, Nicole",,"=""0063031612""","=""9780063031616""",0,4.10,Ecco,Hardcover,256,2023,2023,,2023/04/29,to-read,to-read (#94),to-read,,,,0,0
1117634,Small Is Beautiful: Economics as if People Mattered,Ernst F. Schumacher,"Schumacher, Ernst F.",,"=""0060916303""","=""9780060916305""",0,4.10,Harper Perennial,Paperback,352,1989,1973,,2023/04/29,to-read,to-read (#93),to-read,,,,0,0
22693240,"Taking Charge of Your Fertility: The Definitive Guide to Natural Birth Control, Pregnancy Achievement, and Reproductive Health",Toni Weschler,"Weschler, Toni",,"=""0062326031""","=""9780062326034""",0,4.54,William Morrow Paperbacks,Paperback,536,2015,1995,,2023/04/28,to-read,to-read (#92),to-read,,,,0,0
